サルゴン1世,-2400,-2301,前24世紀頃
ウル第3王朝,-2113,-2006,前2113年頃@前2006年頃
バビロン第1王朝,-1894,-1595,前1894年頃@前1595年頃
古バビロニア王国,-1894,-1595,前1894年頃@前1595年頃
ハンムラビ,-1800,-1701,前18世紀頃
エラム人,-700,-3,前3年@前7世紀前半
古王国,-2200,-27,前27年@前22世紀
中王国,-1800,-21,前21年@前18世紀
新王国,-1567,-1085,前1567年@前1085年
シャンポリオン,1790,1832,1790年@1832年
イスラエル王国,-922,-722,前922年頃@前722年
ユダ王国,-922,-586,前922年頃@前586年
バビロン捕囚,-586,-538,前586年@前538年
アッシリア,-612,-2,前2年@前612年
新バビロニア,-625,-538,前625年@前538年
カルデア,-625,-538,前625年@前538年
メディア,-731,-550,前8世紀末@前550年
アケメネス朝,-550,-330,前550年@前330年
ペルシア戦争,-500,-449,前500年@前449年
グローテフェント,1775,1853,1775年@1853年
ローリンソン,1810,1895,1810年@95年
セレウコス朝,-312,-63,前312年@前63年
バクトリア,-255,-139,前255年頃@前139年
パルティア,-248,224,前248年頃@224年
アルサケス朝,-248,224,前248年頃@224年
ササン朝,224,651,224年@651年
ニハーヴァンドの戦い,642,642,642年
マニ,216,276,216年頃@276年頃
シュリーマン,1822,1890,1822年@90年
エヴァンズ,1851,1941,1851年@1941年
ヴェントリス,1922,1956,1922年@56年
ソロン,-640,-560,前640年頃@前560年頃
ソロンの改革,-594,-594,前594年
ペイシストラトス,-600,-528,前600年頃@前528年
ペルシア戦争,-500,-449,前500年@前449年
マラトンの戦い,-490,-490,前490年
テルモピレーの戦い,-480,-480,前480年
テミストクレス,-528,-462,前528年頃@前462年頃
サラミスの海戦,-480,-480,前480年
プラタイアの戦い,-479,-479,前479年
ブラテーエの戦い,-479,-479,前479年
ペリクレス,-495,-429,前495年頃@前429年
市民権法,-451,-451,前451年
ペロポネソス戦争,-431,-404,前431年@前404年
サッフォー,-612,-612,前612年頃
アナクレオン,-570,-570,前570年頃
ピンダロス,-518,-438,前518年@前438年
アイスキュロス,-525,-456,前525年@前456年
ソフォクレス,-496,-406,前496年頃@前406年
エウリピデス,-485,-406,前485年頃@前406年頃
アリストファネス,-450,-385,前450年頃@前385年頃
タレス,-624,-546,前624年頃@前546年頃
ピタゴラス,-582,-497,前582年頃@前497年頃
ヘラクレイトス,-544,-544,前544年頃
デモクリトス,-460,-370,前460年頃@前370年頃
プロタゴラス,-485,-415,前485年頃@前415年頃
ソクラテス,-469,-399,前469年頃@前399年
プラトン,-427,-347,前427年@前347年
アリストテレス,-384,-322,前384年@前322年
ヒッポクラテス,-460,-375,前460年頃@前375年頃
ヘロドトス,-485,-425,前485年頃@前425年頃
トゥキディデス,-460,-400,前460年頃@前400年頃
フェイディアス,-490,-430,前490年頃@前430年頃
カイロネイアの戦い,-338,-338,前338年
アレクサンドロス大王,-356,-323,前356年@前323年
アレクサンダー大王,-356,-323,前356年@前323年
東方遠征,-334,-324,前334年@前324年
ペルシア遠征,-334,-324,前334年@前324年
イッソスの戦い,-333,-333,前333年
アルベラの戦い,-331,-331,前331年
ガウガメラの戦い,-331,-331,前331年
ダレイオス3世,-380,-330,前380年頃@前330年
イプソスの戦い,-301,-301,前301年
プトレマイオス朝,-304,-30,前304年@前30年
シリア王国,-312,-63,前312年@前63年
パルティア,-248,224,前248年頃@224年
バクトリア,-255,-139,前255年頃@前139年
マカベア戦争,-166,-142,前166年@前142年
マケドニア王国,-306,-168,前306年@前270年代前半頃@前168年
ヘレニズム時代,-334,-30,前334年@前30年
エウクレイデス,-300,-300,前300年頃
ユークリッド,-300,-300,前300年頃
アリスタルコス,-310,-230,前310年頃@前230年頃
アルキメデス,-287,-212,前287年頃@前212年
エラトステネス,-275,-194,前275年頃@前194年
ゼノン,-335,-263,前335年@前263年
エピクロス,-342,-271,前342年頃@前271年頃
ポエニ戦争,-264,-146,前264年@前146年
ハンニバル,-246,-183,前246年頃@前183年
ザマの戦い,-202,-202,前202年
スキピオ,-235,-183,前235年@前183年
シチリアの奴隸反乱,-135,-132,前135年@前132年
グラックス兄弟の改革,-163,-121,前163年@前133年@前153年@前121年
マリウス,-157,-86,前157年頃@前86年
同盟市戦争,-91,-88,前91年@前88年
スラ,-138,-78,前138年@前78年
スパルタクスの反乱,-73,-71,前73年@前71年
ポンペイウス,-106,-48,前106年頃@前48年
クラッスス,-114,-53,前114年頃@前53年
カエサル,-100,-44,前100年頃@前44年
シーザー,-100,-44,前100年頃@前44年
第1回三頭政治,-60,-60,前60年
ガリア遠征,-58,-51,前58年@前51年
ブルートゥス,-85,-42,前85年@前42年
第2回三頭政治,-43,-43,前43年
アントニウス,-82,-30,前82年@前30年
オクタウィアヌス,-63,214,前63年@14年
オクタヴィアヌス,-63,214,前63年@14年
レピドゥス,-13,-13,前13年頃
クレオパトラ,-69,-30,前69年@前30年
アクティウムの海戦,-31,-31,前31年
カラカラ,211,217,211年@217年
マクシミヌス,235,238,235年@238年
コンスタンティヌス,306,337,306年@337年
キリスト教の公認,313,313,313年
テオドシウス,379,395,379年@395年
東ローマ帝国,395,1453,395年@1453年
西ローマ帝国,395,476,395年@476年
オドアケル,434,493,434年頃@493年
ウェルギリウス,-70,-19,前70年@前19年
ヴェルギリウス,-70,-19,前70年@前19年
ホラティウス,-65,-8,前65年@前8年
オウィディウス,-43,417,前43年@17年頃
オヴィディウス,-43,417,前43年@17年頃
キケロ,-106,-43,前106年@前43年
セネカ,-4,465,前4年頃@65年
エピクテトス,135,455,55年頃@135年頃
プロティノス,205,269,205年頃@269年
ポリビオス,-201,-120,前201年頃@前120年頃
リウィウス,-59,217,前59年@17年
リヴィウス,-59,217,前59年@17年
タキトゥス,120,255,55年頃@120年頃
プルタルコス,120,146,46年頃@120年頃
ストラボン,-64,121,前64年@21年頃
プリニウス,123,179,23年@79年
ガレノス,131,201,131年@201年
ユスティニアヌス,483,565,483年@565年
トリポニアヌス,546,546,546年
