class,instance,time_s,time_e,evt:alias,territory,founder,capital,upper_organization
島,アイルランド島,,,ヒベルニア,アイルランド,,,
都市@市,アヴィニョン,,,,,,,
都市@市,アウクスブルク,,,アウグスブルク@アウグスブルグ,,,,
地域,アカディア,,,,,,,
都市@市,アガディール,,,,モロッコ,,,
都市@市,アカプルコ,,,,,,,
都市@市,アクスム,,,,,,,
海域@沖,アクティウム沖,,,,イオニア海,,,
都市@市,アグラ,,,,,,,
地域,アジア,,,亜細亜@亜,,,,
地域,アジアNIES,,,,,,,
亜大陸@大陸,アジア大陸,,,亜大陸,ユーラシア大陸,,,
国家@国@共和国,アゼルバイジャン,,,アゼルバイジャン共和国,南コーカサス,,,
地域,アゼルバイジャン北半,,,,アゼルバイジャン,,,
海域@海,アゾフ海,,,,,,,
都市@市,アッコン,,,アッコ@アッカー@アッカ@アッコン@アクレ@アークル@サン・ジャン・ダクル,,,,
行政区画@地方@州,アッサム地方,,,アッサム州,,,,
都市@市,アッシジ,,,アッシージ@アシジ,,,,
都市@市,アッシュール,,,,,,,
地域@地方,アッティカ地方,,,アッティケー@アッティキ,,,,
都市@市,アテネ,,,アテナイ,,,,
都市@市,アデン,,,,,,,
都市@市,アドリアノープル,,,エディルネ,,,,
海域@海,アドリア海,,,,,,,
海岸@沿岸,アドリア海沿岸,,,,,,,
地域,アドワ,,,,エチオピア,,,
都市@市,アナーニ,,,,イタリア,,,
地形@部,アナトリア南西部,,,アナトリア半島南西部,アナトリア半島,,,
高原@高地,アナトリア高原,,,,アナトリア半島,,,
地形@部,アナトリア西部,,,アナトリア半島西部,アナトリア半島,,,
地形@部,アナトリア東南部,,,アナトリア半島東南部,アナトリア半島,,,
地形@部,アナトリア東部,,,アナトリア半島東部,アナトリア半島,,,
半島,アナトリア半島,,,アナトリア@小アジア,,,,
地形@部,アナトリア北西部,,,アナトリア半島北西部@小アジア北西部,アナトリア半島,,,
国家@国,アフガニスタン,,,アフガニスタン・イスラム共和国,南アジア@中東,,,
地形@部,アフガニスタン西部,,,,アフガニスタン,,,
地形@部,アフガニスタン東部,,,,アフガニスタン,,,
地形@部,アフガニスタン南部,,,,アフガニスタン,,,
地域,アフリカ,,,,,,,
海岸@沿岸,アフリカ沿岸部,,,,アフリカ大陸,,,
海岸,アフリカ西岸,,,,アフリカ沿岸部,,,
大陸,アフリカ大陸,,,,アフリカ,,,
海岸,アフリカ東海岸,,,,アフリカ沿岸部,,,
海岸,アフリカ東岸,,,,アフリカ沿岸部,,,
地形@部,アフリカ内陸部,,,,アフリカ大陸,,,
地形,アフリカ南端,,,,アフリカ大陸,,,
海岸,アフリカ北岸,,,アフリカ北部沿岸,アフリカ沿岸部,,,
地形@部,アフリカ北東部,,,,アフリカ大陸,,,
地域,アマルナ,,,エル・アマルナ@アル・アマルナ,,,,
河川@川@江,アムール川,,,黒龍江,,,,
都市@市,アムステルダム,,,モクム@北のヴェネツィア,,,,
都市@市,アムリットサル,,,アムリトサル@アムリッツァー,,,,
河川@川,アム川,,,アムダリア川@嬀水@烏滸河@オクソス@ワフシュ@アームー@ダルヤー@ジャイフーン川,,,,
河川流域@流域,アム川下流域,,,,アム川流域,,,
河川流域@流域,アム川流域,,,,,,,
国家@国@合衆国,アメリカ合衆国,,,アメリカ@米国,北アメリカ,,,
地形@部,アメリカ合衆国南部,,,アメリカ南部@南部,アメリカ,,,
大陸,アメリカ大陸,,,両アメリカ@新大陸@超大陸,,,,
都市@市@郡,アユタヤ,,,プラナコーンシーアユッタヤー郡@アユタヤ郡@アンプープラナコーンシーアユッタヤー,,,,
行政区画@州,アラスカ,,,アラスカ州,北アメリカ大陸北部@アメリカ,,,
海域@海,アラビア海,,,,,,,
半島,アラビア半島,,,アラビア,,,,
地形@部@半島,アラビア半島東部,,,,アラビア半島,,,
地形@半島,アラビア半島南端,,,,アラビア半島,,,
地形@部@半島,アラビア半島南部,,,,アラビア半島,,,
国家@国@連邦,アラブ首長国連邦,,,UAE,ペルシア湾沿岸@アラビア半島,,,
行政区画,アルザス,,,,,,,
国家@国@共和国,アルジェリア,,,アルジェリア民主人民共和国,北アフリカ,,,
地域@地方,アルスター地方,,,アルスター,,,,
国家@国@共和国,アルゼンチン,,,アルゼンチン共和国,南アメリカ南部,,,
山地@山脈,アルタイ山脈,,,,モンゴル@シベリア,,,
遺跡@洞窟,アルタミラ,,,,スペイン北部,,,
国家@国@共和国,アルバニア,,,アルバニア共和国,バルカン半島南西部,,,
山地@山脈,アルプス,,,アルプス山脈,,,,
都市@市,アルへシラス,,,,スペイン,,,
国家@国@共和国,アルメニア,,,アルメニア共和国,南コーカサス,,,
都市@市,アレクサンドリア,,,アレクサンドレイア@アレクサンドロス@イスカンダルの町@アル・イスカンダリーヤ@エスケンデレイヤ,,,,
都市@市,アンカラ,,,,,,,
国家@国@共和国,アンゴラ,,,アンゴラ共和国,,,,
地域,アンダルス,,,,,,,
都市@市,アンティオキア,,,アンテオケ@アンティオキア@アンティオケイア@アンティオキーア@アンディオヒア,,,,
高原@高地,アンデス高地,,,アンデス高原,アンデス山脈,,,
山地@山脈,アンデス山脈,,,,アンデス地方,,,
地域@地方,アンデス地方,,,アンデス,,,,
都市@市,アントワープ,,,アントウェルペン@アンヴェルス@アンベルス,,,,
島,アンボイナ島,,,アンボン島,モルッカ諸島,,,
島,イースター島,,,ラパ・ヌイ@パスクア島@テ・ピト・オ・ヘヌア@マタ・キ・テ・ランギ,,,,
国家@国@共和国,イエメン,,,イエメン共和国,アラビア半島@中東,,,
都市@市,イェリコ,,,エリコ@ジェリコ@アリーハー,,,,
都市@市,イェルサレム,,,エルサレム,,,,
地域@地方,イオニア,,,イオニア地方,アナトリア南西部,,,
海域@海,イオニア海,,,,,,,
国家@国,イギリス,,,グレートブリテン@北アイルランド連合王国@英国,,,,
植民地@海外領土,イギリス領セイロン,,,英領セイロン,,,,
植民地@海外領土,イギリス領インド,,,イギリス領インド帝国@英領インド@英印,,,,
植民地@海外領土,イギリス領マレー,,,英領マラヤ連邦@英領マレー@イギリス領マラヤ@英領マラヤ@イギリス領マラヤ連邦,,,,
都市@市,イスタンブル,,,イスタンブール,,,,
都市@市,イスファハーン,,,エスファハーン@イスファハン,,,,
都市@市,イズミル,,,スミュルナ@スミルナ,,,,
地域@圏,イスラーム世界,,,イスラーム圏,,,,
国家@国,イスラエル,,,イスラエル国,パレスティナ,,,
国家@国@共和国,イタリア,,,イタリア共和国,,,,
半島,イタリア半島,,,アペニン半島,イタリア,,,
地形@部,イタリア半島中西部,,,,イタリア半島,,,
地形@部,イタリア半島南部,,,,イタリア半島,,,
半島,イベリア半島,,,,,,,
地形@部,イベリア半島南部,,,,イベリア半島,,,
地形@部,イベリア半島北東部,,,,イベリア半島,,,
国家@国@共和国,イラク,,,イラク共和国,中東@西アジア,,,
河川@川,イラワディ川,,,エーヤワディー川@イラワジ川,ミャンマー,,,
地形@流域,イラワディ川中流域,,,,イラワディ川流域,,,
河川流域@流域,イラワディ川流域,,,エーヤワディー川流域@イラワジ川流域,ミャンマー,,,
国家@国,イラン,,,ペルシア@ペルシャ,,,,
高原@高地,イラン高原,,,ペルシア高原@ペルシャ高原,イラン,,,
地形@部@高原,イラン高原南部,,,,イラン高原,,,
地形@部@高原,イラン高原北西部,,,イラン高原西北部,イラン高原,,,
地形@部@高原,イラン高原北東部,,,イラン高原東北部,イラン高原,,,
地形@部,イラン東部,,,,イラン,,,
地形@部,イラン北西部,,,西北イラン,イラン,,,
地域@地方,イリ地方,,,,中央アジア,,,
国家@国,イングランド,,,,イギリス@グレートブリテン島南部,,,
河川@川,インダス川,,,,,,,
河川流域@流域,インダス川西岸,,,,インダス川流域,,,
地形@流域,インダス川中流域,,,,インダス川流域,,,
河川流域@流域,インダス川流域,,,,,,,
地域,インディアス,,,,,,,
国家@国@共和国,インド,,,インド共和国,インド亜大陸,,,
半島,インドシナ半島,,,インドシナ,東南アジア,,,
地形@部,インドシナ半島中部,,,,インドシナ半島@タイ,,,
地形@部,インドシナ半島東部,,,,インドシナ半島,,,
地形@部,インド東北部,,,東北インド,インド,,,
国家@国@共和国,インドネシア,,,インドネシア共和国,,,,
地形@部,インド北西部,,,西北インド@インド北西部@北西インド,インド,,,
亜大陸@大陸,インド亜大陸,,,インド半島,アジア大陸,,,
海岸,インド西海岸,,,インド西岸,インド,,,
海岸,インド東海岸,,,インド東岸,インド,,,
地形@部,インド内陸部,,,,インド,,,
半島@大陸,インド半島,,,インド亜大陸,インド,,,
海岸@沿岸,インド半島沿岸,,,,インド半島,,,
海域@洋,インド洋,,,インド洋海域,,,,
地域@植民地,ヴァージニア植民地,,,バージニア植民地,,,,
都市@市,ヴァイマル,,,ワイマール@ヴァイマール@ワイマル@ヴァイマー@ワイマー@ウァイマー,,,,
国家@国,ヴァチカン,,,バチカン@バチカン市国@バティカン@ヴァティカン,,,,
都市@市,ヴァレンヌ,,,ヴァレンヌ・アン・アルゴンヌ,フランス,,,
国家@国@王国,ヴァンダル王国,,,,,,,
都市@市,ウィーン,,,ヴィーン@ヴェアン@ヴィエンヌ@ヴィエナ,,,,
都市@市,ヴィジャヤナガル,,,ハンピ,,,,
国家@国,ウェールズ,,,,イギリス@グレートブリテン島西部,,,
国家@国,ヴェトナム,,,ベトナム,,,,
地形@部,ヴェトナム中部,,,,ヴェトナム,,,
地形@沿岸,ヴェトナム中部沿岸,,,,ヴェトナム中部,,,
地形@部,ヴェトナム南部,,,南ヴェトナム,ヴェトナム,,,
地形@部,ヴェトナム北部,,,北ヴェトナム,ヴェトナム,,,
都市@市,ヴェネツィア,,,ヴェネーツィア@ヴェネチア@ベネチア@ベネツィア@ベネティア@ヴェネティア@ヴェニス@べニス,,,,
都市@市,ヴェルサイユ,,,,,,,
河川@川,ヴォルガ川,,,イティル川@イジル川,,,,
河川流域@流域,ヴォルガ川下流域,,,,ヴォルガ川流域,,,
河川流域@流域,ヴォルガ川中流域,,,,ヴォルガ川流域,,,
河川流域@流域,ヴォルガ川流域,,,ヴォルガ川沿い,,,,
都市@市,ヴォルゴグラード,,,ツァリーツィン@スターリングラード,,,,
都市@市,ヴォルムス,,,,,,,
国家@国@共和国,ウガンダ,,,ウガンダ共和国,,,,
国家@国,ウクライナ,,,,東ヨーロッパ,,,
国家@国@共和国,ウズベキスタン,,,ウズベキスタン共和国@月即別,中央アジア,,,
河川@川,ウスリー川,,,ウスリー江,,,,
地形@地域,ウスリー川以東,,,ウスリー以東,,,,
都市@市,ウッドストック,,,,,,,
都市@市,ウラジオストク,,,ウラジヴォストク@ウラジヴォストーク@ウラジオストック@ヴラヂヴォストーク,,,,
海域@海,エーゲ海,,,多島海,,,,
海岸@沿岸,エーゲ海沿岸,,,,,,,
国家@国@共和国,エクアドル,,,エクアドル共和国,,,,
都市@市,エクバタナ,,,エクバターナ@ハマダーン@ハグマターナ@アグバタナ,,,,
国家@国@共和国,エジプト,,,エジプト・アラブ共和国,,,,
地形@部,エジプト南部,,,,エジプト,,,
国家@国@共和国,エストニア,,,エストニア共和国,,,,
国家@国,エチオピア,,,アビシニア,,,,
高原@高地,エチオピア高原,,,アビシニア高原,エチオピア,,,
都市@市,エフェソス,,,エペソス@エフェソ@エペソ@エフェス,,,,
山,エベレスト,,,エベレスト山@エヴェレスト@チョモランマ@チョモ・ランマ,,,,
国家@国,エリトリア,,,エリトリア国,紅海沿岸@アフリカ北東部,,,
