class,instance,starting_time,endint_time,alias,land_of_origin
文化@文明,イスラーム文化,7世紀,,イスラーム文明,イスラーム世界
文化@文明,イラン・イスラーム文化,,,,イラン@イラク@トルクメニスタン
文化@文明,インダス文明,前2300,前1800頃,ハラッパー文明,インダス川流域
文化@文明,インド・イスラーム文化,13世紀初頭,,,インド
文化@文明,インド文明,4世紀頃,,ヒンドゥー文明,インド@ネパール
文化@文明,エーゲ文明,前3000,前1200頃,,エーゲ海
文化@文明,エジプト文明,,,,エジプト
文化@文明,オリエント文明,,,,
文化@文明,オルメカ文明,前1200,紀元前後,オルメカ,メキシコ湾岸
文化@文明,カウンターカルチャー,1960代後半,1970代前半,対抗文化,
文化@文明,ギリシア文化,,,,
文化@文明,ギリシア文明,前8世紀頃,,,古代ギリシア
文化@文明,クレオール文化,,,,
文化@文明,クレタ文明,前2000頃,前1400頃,ミノア文明@ミノス文明,クレタ島
文化@文明,サーフィン文化,前4世紀頃,,,ヴェトナム
文化@文明,シュメール,前3500頃,前2000頃,,メソポタミア南部
文化@文明,スキタイ文化,,,,
文化@文明,スキト・シベリア文化,,,,南ロシア@モンゴル@シベリア
文化@文明,スワヒリ文化,,,,
文化@文明,チャビン文化,,,,
文化@文明,ティアワナコ文明,1世紀,12世紀,,ボリビア
文化@文明,テオティワカン文明,前2世紀,6世紀,,テオティワカン
文化@文明,トルコ・イスラーム文化,ティムール朝時代,,,中央アジア
文化@文明,ドンソン文化,前4世紀頃,1世紀頃,,ヴェトナム北部
文化@文明,ビザンツ文明,,,ビザンティン文化@ビザンツ文化,ビザンツ帝国
文化@文明,ヒンドゥー文化,,,,
文化@文明,ペルシア文化,,,,
文化@文明,ペルシア文明,,,,
文化@文明,ヘレニズム文明,前334,前30頃,ヘレニズム@ヘレニズム文化,
文化@文明,マヤ文明,4世紀,16世紀,,ユカタン半島
文化@文明,ミケーネ文明,前1600頃,前1200頃,ミュケナイ文明,ミケーネ
文化@文明@総称,メソアメリカ文明,前2000頃,,,メキシコ@中央アメリカ
文化@文明,メソポタミア文明,前3500頃,前4世紀,,メソポタミア
文化@文明,黄河文明,,,,黄河中流域@黄河下流域
文化@文明,仰韶文化,前5000頃,前4000頃,,黄河中流域
文化@文明,古アメリカ文明,,,,
文化@文明,古代文明,,,,
文化@文明,国風文化,10世紀初頭,11世紀,,日本
文化@文明,彩陶文化,,,,
文化@文明,新石器文化,,,,
文化@文明,西洋文化,,,西洋文明,
文化@文明,青銅器文化,前3500頃,,青銅器時代@青銅器文明,メソポタミア@エジプト
文化@文明,中央アメリカ文明,,,,
文化@文明,中華文明,,,中国文明@華夏文化@華夏文明@黄河文明@長江文明,
文化@文明,中国文明,,,中華文明,中国
文化@文明,天平文化,7世紀末頃,8世紀半ば,,奈良
文化@文明,東南アジア文明,,,,
文化@文明,南アジア文明,,,,
文化@文明,日本文化,,,,日本
文化@文明,仏教文化,,,,
文化@文明,竜山文化,前3000頃,前2000頃,龍山文化,黄河中流域@黄河下流域
文化@文明,六朝文化,222,589,,江南
文明,トロイア文明,,,,,,,
文化,良渚文化,前3300頃,前2200頃,,長江下流域,,,,
文化,三星推文化,前2000,,,四川省,,,,
文化@総称,晋唐文化,,,,六朝文化,中国,,
文化@文明,トルテカ文明,6世紀,10世紀,,メキシコ高原,,,
文化@文明,チャビン文明,前1000,,,ペルー北部,,,
文化@文明,ワリ文明,,,,ペルー北部,,,
文化@文明,ナスカ文明,1世紀,8世紀,,ペルー南部,,,
文化@文明,白鳳文化,7世紀後半,,,日本,,,
文化@文明@総称,アンデス文明,,,,アンデス山脈@南米,,,
文化圏,東アジア文化圏,,,,,,,
