class,instance,starting_time,ending_time,alias,land_of_origin,inventor,institutor
技術@発明,ICBM,1957,,大陸間弾道ミサイル@大陸間弾道弾,ソ連,,
技術@発明,X線,1895/11/8,,エックス線,ドイツ,レントゲン,
数字,アラビア数字,,,アラビヤ数字,インド,,
文字,アラビア文字,400頃,,,ヒジャーズ,,
文字,アラム文字,前9世紀-前8世紀,600頃,,シリア,,
文字,アルファベット,前1700-前1500頃,,,地中海沿岸,,
暦,イスラーム暦,,,ヒジュラ暦@イスラム暦,,ウマル・イブン・ハッターブ,
技術@発明,インターネット,1982頃,,,アメリカ合衆国,,
文字,インダス文字,前2600頃,前1900頃,,,,
数字,インド数字,,,ヒンディー数字@アラビア・インド数字,アラビア半島,,
文字,ウイグル文字,8世紀頃,,,中央アジア,,
技術@発明,カナート,,,,イラン,,
文字,キリル文字,900頃,,,,,
暦,グレゴリウス暦,1582,,グレゴリオ暦,ローマ,,グレゴリウス13世
技術@発明,クローン技術,1903,,クローン,,ハーバート・ウェッバー,
技術@発明@船,ジャンク船,,,ジャンク,中国,,
概念,ゼロの概念,628,,0@零@ゼロ,インド,,
文字,ソグド文字,,,,中央アジア,ソグド人,
技術@発明,ダイナマイト,1866,,,,ノーベル,
文字,チベット文字,7世紀半ば,,,,トンミ・サンボータ,ソンツェン・ガンポ
文字,チュノム,13世紀,1945頃,字喃,ヴェトナム,,
文字,デモティック,前600頃,5世紀,民衆文字,エジプト,,
技術@発明,テレビ放送,1929,,テレビジョン放送,イギリス,,
技術@発明,トランジスター,1947-1948,,トランジスタ,アメリカ合衆国,ジョン・バーディーン@ウォルター・ブラッテン,
技術@発明,バイオテクノロジー,,,生物工学,,,
文字,パスパ文字,1269,1368頃,,モンゴル,パスパ,
文字,ヒエログリフ,,400頃,聖刻文字@神聖文字,エジプト,,
文字,ペルシア文字,アケメネス朝時代,,ペルシャ文字,,,
技術@発明,ミシン,1755,,,イギリス,ワイゼンソール,
技術@発明,メートル法,1793,,,フランス,,
文字,モンゴル文字,1208,,,モンゴル,,
暦,ユリウス暦,前45/1/1,1582/10/15,,古代ローマ,,カエサル
技術@発明,ラジオ放送,1906/12/24,,ラジオ,アメリカ合衆国,レジナルド・フェッセンデン,
文字,ローマ字,,,ラテン文字,古代ローマ,,
技術@発明,ろくろ,前6000-前2400,,轆轤@轆䡎,メソポタミア,,
文字,ロシア文字,10世紀,,キリル文字@ロシア語アルファベット,,,
技術@発明,遺伝子組み換え食品,,,遺伝子組換え作物,,,
技術@発明,遺伝子操作,1970頃,,遺伝子工学,,,
技術@発明,医薬,,,医薬品,,,
技術@発明,医療技術,,,医療,,,
