class,instance,time_s,time_e,evt:alias,territory,founder,capital,upper_organization
時代,旧石器時代,,,,,,,
時代,後期旧石器時代,更新世末期,,,,,,
時代,中石器時代,,,,,,,
時代,新石器時代,,,,,,,
時代,金属器時代,,,,,,,
時代,先史時代,,,,,,,
時代,歴史時代,,,,,,,
時代,暗黒時代,前12世紀,前8世紀,,,,,
地質年代,始生代,,,,,,,
地質年代,原生代,,,,,,,
地質年代,古生代,,,,,,,
地質年代,中生代,,,,,,,
地質年代,新生代,前65000000,2000,,,,,
地質年代,第3紀,前65000000,前1800000,,,,,
地質年代,第4紀,前1800000,2000,,,,,
地質年代,更新世,前1800000,前8000,洪積世,,,,
地質年代,完新世,前8000,2000,沖積世@後氷期,,,,
地質年代,氷河期,,,氷期,,,,
地質年代,間氷期,,,,,,,
時代,ヴェーダ時代,前2000頃,前600頃,,インド,,,,
時代,ラージプート時代,8世紀,13世紀,,北インド,,,,
時代,春秋・戦国時代,前770,前221,,中国,,,,
時代,春秋時代,前770,前403,,中国,,,,
時代,戦国時代,前403,前221,,中国,,,,
年代@時代,内乱の1世紀,前133,前27,,共和政ローマ,,,,
時代,魏晋南北朝,220,589,魏晋南北朝時代,中国,,,
時代,三国時代,220,280,,魏@呉@蜀,中国,,
時代,五胡十六国時代,304,439,,中国,,,
時代,南北朝時代,439,589,,中国,,,
時代,朝鮮三国時代,4世紀,7世紀,三国時代,新羅@百済@高句麗,,,
時代,飛鳥時代,6世紀末,7世紀半ば,,日本,,,
時代,奈良時代,710,784,,日本,,,
時代@時代区分,ルネサンス,14世紀,16世紀,,イタリア
時代,平安時代,794,1192,,平安京,,,,
