class,instance,evt:starting_time,evt:endint_time,evt:alias,evt:nationality,evt:land_of_origin,evt:ethnic_group
発明家,アークライト,1732,1792,,グレートブリテン王国,,
詩人,アイスキュロス,前525,前456,,アテネ,,
軍人@政治家@司令官@総長@大統領,アイゼンハワー,1890,1969,,アメリカ合衆国,,
奴隷@スルタン@軍人,アイバク,,1210,,ゴール朝@デリー・スルタン朝,,
理論物理学者@学者,アインシュタイン,1879,1955,,,ドイツ,
神学者@哲学者@教父,アウグスティヌス,354,430,,,北アフリカ,
皇帝@シャー@ハーン,アウラングゼブ,1618,1707,アウラングゼーブ@アーラムギール1世,ムガル帝国,,
独立運動家,アウン・サン,1915,1947,,ビルマ,,
革命家@大統領,アギナルド,1869,1964,,フィリピン,,
君主,アクバル,1542,1605,アクバル大帝,ムガル帝国,,
王@大王,アショーカ王,前304,前234,アショカ@阿育王,マウリヤ朝,,
神学者@ギリシア教父@聖職者@司教@教父,アタナシウス,296頃,373,大アタナシオス,アレクサンドリア,,
イエズス会士@シャー,アダム・シャール,1591,1666,湯若望,,ドイツ,
経済学者@神学者@哲学者@学者,アダム・スミス,1723,1790,,,イギリス,
王@大王,アッティラ,406頃,453,アキラ@エツェル,,,フン族
シャー,アッバース1世,1571,1629,,サファヴィー朝,,
政治家@首相@外相@党首,アデナウアー,1876,1967,,ドイツ連邦共和国,,
政治家@首相@党首,アトリー,1883,1967,,イギリス,イギリス,
イスラーム活動家@君主,アフガーニー,1838,1897,,,イラン,
皇帝@元首,アブデュル・ハミト2世,1842,1918,,オスマン帝国,,
皇帝,アブデュル・メジト1世,1823,1861,,オスマン帝国,,
アミール@カリフ@君主@国王@皇帝,アブド・アッラフマーン3世,889,967,,後ウマイヤ朝,,
皇帝,アフメト3世,1673,1736,,オスマン帝国,,
論理学者@キリスト教神学者@学者,アベラール,1079,1142,,,フランス,
政治家@外交官,アマースト,1773,1857,,イギリス,イギリス,
探検家@人物,アムンゼン,1872,1928,,ノルウェー王国,,
探検家@地理学者@学者,アメリゴ・ヴェスプッチ,1454,1512,,,イタリア,
王,アメンホテプ4世,前1362頃,前1333頃,イクナートン@アクエンアテン,,エジプト,
大統領@軍人,アラファト,1929,2004,アラファート,,パレスティナ,
カリフ,アリー,600,661,,,アラビア,
司祭,アリウス,250頃,336,アレイオス@アリオス,,,
天文学者@数学者,アリスタルコス,前310頃,前230頃,,,ギリシア,
哲学者@王@教師@大王,アリストテレス,前384,前322,,,ギリシア,
喜劇作家@作家,アリストファネス,前450頃,前385頃,アリストパネス,アテネ,,
数学者@物理学者@技術者@発明家@天文学者@学者,アルキメデス,前287頃,前212,,,ギリシア,
ハーン,アルタン・ハン,1507,1582,,,モンゴル,
ハーン@君主@シャー@ハーン,アルデシール1世,,241,アルダシール1世@アルダフシール,ササン朝ペルシア,,
王@大王,アルフレッド,849,899,アルフレッド大王,ウェセックス王国,イギリス,
皇帝@国王@大公@君主,アレクサンドル1世,1777,1825,,ロシア帝国,,
皇帝,アレクサンドル2世,1818,1881,,ロシア帝国,,
王@大王,アレクサンドロス,前356,前323,アレキサンダー大王,マケドニア,,
君主@女王,アン,1665,1714,ブランデー・ナン,,イングランド,
神学者@哲学者@司教,アンセルムス,1033,1109,,神聖ローマ帝国,,
政治家@軍人@皇帝,アントニウス,前82,前30,マルクス・アントニウス,古代ローマ,,
王@国王,アンリ4世,1553,1610,エンリケ3世,,フランス,
貴族政治家@外相@首相,イーデン,1897,1977,,イギリス,イギリス,
大公,イヴァン3世,1440,1505,イヴァン大帝,モスクワ大公国,,
大公@ツァーリ,イヴァン4世,1530,1584,雷帝,モスクワ大公国,,
,イエス,前4頃,30頃,,,パレスティナ,ユダヤ人
探検家,イェルマーク,,1585,エルマーク,,,
イエスズ会創立者@イエズス会総長@総長@教皇@著者,イグナティウス・ロヨラ,1491頃,1556,,,スペイン,
王@女王,イサベル,1451,1504,イザベラ,カスティリャ,,
独立運動指導者,イダルゴ,1753,1811,,メキシコ,,
劇作家@詩人@舞台監督@作家@監督,イプセン,1828,1906,,ノルウェー王国,,
運動家@指導者,イブン・アブドゥル・ワッハーブ,,1791,,,アラビア,
国王,イブン・サウード,1880,1953,アブドゥルアズィーズ,サウジアラビア王国,,
哲学者@医者@科学者,イブン・シーナー,980,1037,アヴィケンナ,サーマーン朝,,
法学者,イブン・バットゥータ,1304,1368または1369,,モロッコ,,
歴史家@思想家@政治家@学者,イブン・ハルドゥーン,1332,1406,,,チュニス,
哲学者@学者,イブン・ルシュド,1126,1198,アヴェロエス,,スペイン,
教皇,インノケンティウス3世,1161,1216,ロタリオ・ディ・コンティ,古代ローマ,,
航海者@探検家,ヴァスコ・ダ・ガマ,1469頃,1524,バスコ・ダ・ガマ,ポルトガル,,
政治家@大統領,ヴァルガス,1882,1954,,ブラジル,,
自由思想家@開祖,ヴァルダマーナ,前549頃,前477頃,マハーヴィーラ,マガダ国,,
傭兵隊長@皇帝@隊長@提督,ヴァレンシュタイン,1583,1634,,,ドイツ,
