class,instance,evt:starting_time,evt:ending_time,evt:alias,evt:location,evt:builder,
道路,アウトバーン,1932,,,ドイツ@オーストリア@スイス,,
寺院,アジャンター石窟寺院,前1世紀頃,,アジャンター石窟群,インド,,
ダム,アスワン・ハイダム,1970,,アスワン・ハイ・ダム,エジプト南部,ナセル,
寺院,アズハル・モスク,,,,,,
遺跡,アンコール・トム,9世紀末,,,,,
遺跡,ハラッパー,,,ハラッパ
寺院,アンコール・ワット,12世紀前半,,アンコール・ワット,カンボジア,スールヤヴァルマン2世,
宮殿,ウェストミンスター宮殿,1045-1050,,,ロンドン,エドワード懺悔王,
水道,カナート,,,カレーズ@フォガラ,イラン,,
寺院@神殿,カーバ神殿,,,カアバ@カアバ神殿,メッカ,,
宿泊施設,キャラバンサライ,,,ハーン@カイサリーヤ@フンドゥク,,,
宮殿,クノッソス宮殿,,,,,,
宮殿,サンスーシ宮殿,1747,,,ポツダム,フリードリヒ2世,
鉄道,シベリア鉄道,1905,,,ロシア,,
道路@道,シルクロード,,,絹の道,中国@地中海,,
寺院,ストゥーパ,,,仏塔@パコダ,インド@スリランカ@中国@日本,,
寺院,スレイマン・モスク,1557,,スレイマニエ・モスク,イスタンブル,スレイマン1世,
墓廟@墳墓,タージ・マハル,1653,,タージ・マハル,アグラ,シャー・ジャハーン,
宮殿,テュイルリー宮殿,1664,1871/5/23,チュイルリー宮殿,パリ,カトリーヌ・ド・メディシス,
要塞,バスティーユ要塞,,,,,,
寺院@神殿,パルテノン神殿,前447-前431,,,アテネ,,
寺院,パンテオン,前25,,万神殿,ローマ,アグリッパ,
墓廟@墳墓,ピラミッド,,,金字塔,エジプト,,
寺院,プランバナン寺院群,898-910,,,ジャワ島中部,バリトゥン王,
壁@城壁,ベルリンの壁,1961/08/13,1989/11/10,,ベルリン,,
寺院@遺跡,ボロブドゥール寺院,792,,ボロブドゥール遺跡,ジャワ島中部,ダルマトゥンガ王,
寺院,ミナレット,8世紀頃,,マナール@マナーラ@ミーナール,,,
遺跡,モエンジョ・ダーロ,前2500-前1800,,モヘンジョダロ@モヘンジョ・ダロ,パキスタン,,
寺院,モスク,,,,,,
宮殿,ヴェルサイユ宮殿,1682,,ベルサイユ宮殿,ヴェルサイユ,ルイ14世,
壁,万里の長城,戦国時代,,長城,中国,始皇帝@他,
寺院,仏国寺,774,,,慶州,金大城,
競技場@闘技場,円形闘技場,80,,コロッセウム,ローマ,ウェスパシアヌス@ティトゥス,
宮殿,円明園,,1960,,北京,,
遺跡,半坡遺跡,,,,西安,,
運河,大運河,610,,京杭大運河,中国,楊堅@煬帝,
鉄道,大陸横断鉄道,1869/5/10,,,アメリカ合衆国,,
門,天安門,1651,,,北京,順治帝,
遺跡,姜寨遺跡,,,,,,
門,宣徳門,,,,,,
門,朱雀門,古代,,,日本,,
鉄道,東清鉄道,1903,,中東鉄道@東支鉄道@北満鉄路@北満鉄道,満州,,
遺跡,殷墟,前14世紀頃,,,安陽市,,
遺跡,河姆渡遺跡,前5000-前3000頃,,,浙江省,,
道路@道,王の道,前5世紀,,,トルコ@イラク,ダレイオス1世,
寺院,秋篠寺,776頃,,,奈良,善珠,
居住施設,竪穴住居,後期旧石器時代,,竪穴式住居,,,
