class,instance,starting_time,time_e,alias,author,youshiki
物語@小説,アーサー王物語,中世後期,,,トマス・マロリー,
宗教書@教典,アヴェスター,3世紀頃,,,,
詩,アフリカ（詩）,1338,,,ペトラルカ,
物語@小説,アラビアン・ナイト,9世紀頃,,千夜一夜物語,,
物語@小説,アンクル・トムの小屋,1852,,トムじいの小屋@アンクル・トムズ・キャビン,ストウ,
詩,イリアッド,前8世紀頃,,イーリアス,ホメロス,
宗教書@教典,ヴェーダ,前1000-前500,,,,
宗教書@教典,ウパニシャッド,前800-16世紀,,奥義書,,
宗教書@教典,ウルガタ,1545,,ヴルガータ,ヒエロニムス,
政治書@経済書@法書,エミール,1762,,エミール,ルソー,
詩,オデュッセイ,前8世紀頃,,オデュッセイア,ホメロス,
歴史書,ガリア戦記,前58-前51,,,カエサル,
物語@小説,ガリバー旅行記,1726,,ガリヴァー旅行記,スウィフト,
物語@小説,ガルガンチュアとパンタグリュエル,1532-1564,,ガルガンテュアとパンタグリュエルの物語,ラブレー,
物語@小説,カンタベリ物語,14世紀,,カンタベリー物語,チョーサー,
物語@小説,カンディード,1759,,カンディード或は楽天主義説,ヴォルテール,
哲学書@神学書,キリスト教綱要,1536,,,カルヴァン,
哲学書@神学書,キリスト者の自由,1520,,,マルティン・ルター,
物語@小説,ギルガメシュ物語,前2000年紀初頭,,ギルガメシュ叙事詩,,
宗教書@教典,クルアーン,7世紀,,コーラン,,
歴史書,ゲルマニア,98,,,タキトゥス,
政治書@経済書@法書,コモン・センス,1776,,,トマス・ペイン,
詩,シャー・ナーメ,1010,,王書,フィルドゥシー,
戯曲@演劇,タルチュフ,1664,,ペテン師,モリエール,
物語@小説,デカメロン,1353,,十日物語@人曲,ボッカチオ,
政治書@経済書@法書,ドイツ国民に告ぐ,1808,,,フィヒテ,
物語@小説,ドン・キホーテ,1605,,,セルバンテス,
詩,ニーベルンゲンの歌,1200-1205,,,,
回想録,バーブル・ナーマ,,,トゥズキ・バーブリー,バーブル,
宗教書@教典,ハディース,9世紀頃,,,,
戯曲@演劇,ハムレット,1600-1602,,デンマークの王子ハムレットの悲劇,シェークスピア,
哲学書@神学書,パンセ,1670,,瞑想録,パスカル,
科学書,プリンキピア,1687,,自然哲学の数学的諸原理,ニュートン,
政治書@経済書@法書,ペルシア人への手紙,1721,,,モンテスキュー,
歴史書,ペルシア戦史,前443,,歴史,ヘロドトス,
歴史書,ペロポネソス戦史,前443,,歴史,トゥキディデス,
戯曲@演劇,マクベス,1606,,,シェークスピア,
詩,マハーバーラタ,前4世紀-4世紀,,,,
物語@小説,ユートピア,1516,,理想郷@無何有郷,トマス・モア,
詩,ラーマーヤナ,前4世紀-5世紀,,ラーマ王行状記,ヴァールミーキ,
戯曲@演劇,リア王,1604-1606,,,シェークスピア,
哲学書@神学書,リヴァイアサン,1651,,レヴィアタン,ホッブズ,
宗教書@教典,リグ・ヴェーダ,前1200-前1000頃,,,,
詩,ルバイヤート,11世紀,,,ウマル・ハイヤーム,
歴史書,ローマ史,,,,リヴィウス,
詩,ローランの歌,11世紀末,,ロランの歌,,
物語@小説,ロビンソン・クルーソー,1719,,ロビンソン漂流記,デフォー,
物語@小説,阿Ｑ正伝,1921,,,魯迅,
宗教書@教典,易経,,,,伏羲,
科学書,医学典範,12世紀-16世紀,,,イブン・シーナー,
辞典・辞書,永楽大典,1408,,,,
詩,王の書,1010,,シャー・ナーメ@王書,フィルドゥシー,
伝記@自伝,回想録,,,,,
政治書@経済書@法書,海国図志,,,,,
