class,instance,starting_time,ending_time,alias,nationality,land_of_origin,founder,upper_organization,religion
宗教組織@組織@派,12イマーム派,16世紀頃,,十二イマーム派,イラン,,,シーア派,
議会,500人評議会,前6世紀末,,五百人評議会,アテネ,,クレイステネス,アテネ,
労働組合@同盟@組合,AFL,1886,1955,アメリカ労働総同盟,アメリカ合衆国,,,,
国際組織@組織,AFTA,1992,,ASEAN自由貿易圏@ASEAN自由貿易地域,,,,ASEAN,
国際組織@組織@連合,ASEAN,1967,,東南アジア諸国連合,,,,,
国際組織@組織@会議,ASEAN＋3,1997,,ASEAN＋日中韓首脳会議,,,,,
軍事同盟@同盟,CENTO,1959/08/01,1979,Central Treaty Organization ,,,,,
労働組合,CIO,1935,,,,,,,
国際組織@組織@共同体,CIS,1991,,独立国家共同体,,,,,
国際組織@組織@共同体,EC,1967,,ヨーロッパ共同体@欧州共同体,,,,,
国際組織@組織@共同体,ECSC,,,ヨーロッパ石炭鉄鋼共同体@欧州石炭鉄鋼共同体,,,,,
国際組織@組織@共同体,EEC,1958,,ヨーロッパ経済共同体@欧州経済共同体,,,,,
国際組織@組織@連合,EFTA,1960,,ヨーロッパ自由貿易連合@欧州自由貿易連合,,,,,
国際組織@組織@連合,EU,1993,,ヨーロッパ連合@欧州連合,,,,,
国際組織@組織@共同体,EURATOM,1958,,ヨーロッパ原子力共同体@欧州原子力共同体,,,,,
政党@党,FLN,1954,,民族解放戦線,,,,,
軍隊,GHQ,1945,1952,連合国軍総司令部,,,,,
国際組織@組織@銀行,IBRD,1945,,国際復興開発銀行@世界銀行,,,,,
国際組織@組織@機関,ILO,1919,,国際労働機関,,,,,
国際組織@組織@基金,IMF,1945,,国際通貨基金,,,,,
国際組織@組織@同盟,IWW,1905,,世界産業労働者同盟,,,,,
軍事同盟@同盟@機構,METO,1955,,バグダード条約機構@中東条約機構,,,,,
軍事同盟@同盟@機構,NATO,1949/04/01,,北大西洋条約機構,,,,,
軍隊@軍,NATO軍,,,,,,,NATO,
国際組織@組織@機構,OAPEC,1960,,アラブ石油輸出国機構,,,,,
国際組織@組織@機構,OAS,1948,,米州機構,,,,,
国際組織@組織@機構,OAU,1963,,アフリカ統一機構,,,,,
国際組織@組織@機構,OECD,1948,,経済協力開発機構,,,,,
国際組織@組織@機構,OEEC,1948,,ヨーロッパ経済協力機構,,,,,
国際組織@組織@機構,OPEC,1960,,石油輸出国機構,,,,,
団体@結社@機構,PLO,,,パレスチナ解放機構@パレスティナ解放機構,,,,,
軍隊@隊,ＳＡ,1921,,突撃隊,,,,,
