class,instance,starting_time,ending_time,alias,land_of_origin,founder
宗教,イシス教,,,,,
宗教,イスラーム教,610頃,,イスラム教,アラビア半島,ムハンマド
宗教,カトリック,11世紀頃,,ローマ教会@ローマ・カトリック教会,ローマ,
宗教,キリスト教,1世紀中頃,,,ローマ,
宗教,ギリシア正教,1世紀,,ギリシャ正教@東方正教会,ギリシア@東ヨーロッパ,
宗教,顕教,,,,,空海
宗教,シク教,16世紀初頭,,スィク教@スィック教@シーク教,インド,ナーナク
宗教,ジャイナ教,,,ジナ教,インド,ヴァルダマーナ
宗教,スンナ派イスラーム教,,,スンナ派@スンニ派@正統派,インド,
宗教,ゾロアスター教,前6世紀,,拝火教@パーシー教@パールシー教@マズダー教@祆教,アフガニスタン,ザラスシュトラ
宗教,チベット仏教,8世紀-9世紀,,ラマ教,チベット,
宗教,ネストリウス派キリスト教,,,ネストリウス派@景教,,ネストリウス
宗教,バハーイー教,19世紀半ば,,,イラン,バハーウッラー
宗教,バラモン教,前13世紀頃,,ブラフマン教,インド,
宗教,バーブ教,1840頃,,,イラン,ミールザー・アリー・モハンマド
宗教,ヒンドゥー教,前1500頃,,,インド,
宗教,プロテスタント,1529,,新教,ドイツ,マルティン・ルター
宗教,マニ教,3世紀前半,,,北アフリカ@イベリア半島@ユーラシア大陸,マニ
宗教,ミトラ教,1世紀,5世紀,ミスラス教,イラン,
宗教,ユダヤ教,587,,,北アフリカ,
宗教,ロシア正教,,,,,
宗教,上座部仏教,,,上座仏教@テーラワーダ仏教@テーラヴァーダ仏教@南伝仏教@小乗仏教,東南アジア,
宗教,五斗米道,2世紀後半,215,天師道,蜀,張陵
宗教,仏教,5世紀頃,,,インド,ガウタマ・シュダールタ
宗教,儒教,,,,中国,孔子
宗教,全真教,,,,中国,王重陽
宗教,回教,7世紀後半,,回回@清真教,中国,
宗教,大乗仏教,,,北伝仏教@北方仏教,ユーラシア大陸中央部,ナーガールジュナ
宗教,太平道,2世紀後半,184,,中国,張角
宗教,密儀宗教,,,,古代ローマ,
宗教,東学,1860頃,,,朝鮮半島,崔済愚
宗教,正教,,,,,
宗教,浄土宗,1175,,,日本,法然
宗教,白蓮教,,1813,,中国,慈昭子元
宗教,禅宗,,,,中国,達磨
宗教,道教,,,道家@道家の教@道門@道宗@老氏@老氏の教@老氏の学@老教@玄門,中国,
宗教@教え,マズダク教,,,,,,,
宗教,密教,,,タントリズム,仏教,,,,
宗教,部派仏教,,,,仏教,,,,
宗教,新天師道,,,,寇謙之,,,
宗教,天台宗,,,,仏教,智顗,,
宗教,真言宗,,,密教,大日如来信仰,仏教,,
