class,instance,starting_time,ending_time,alias,religion,land_of_origin,advocate
宗教概念,アートマン,,,我,バラモン教@ヒンドゥー教@ヴェーダの宗教,インド,
神@邪神,アーリマン,,,アンラ・マンユ@アフリマン,ゾロアスター教,,
神,アトン,,,アテン,ユダヤ教,エジプト,
神,アフラ・マズダ,,,アフラ・マズダー,ゾロアスター教,インド,
神,アメン,,,アモン@アムン@アメン・ラー,,テーベ,
神,ヴィシュヌ,,,,ヒンドゥー教,インド,
神,オリンポス12神,,,オリュンポスの十二神@十二神,,ギリシア,
神,ガネーシャ,,,ガナパティ@ガネーシュ@ガンパティ@ガンパチ,ヒンドゥー教,インド,
宗教概念,カルマ,,,業,仏教,中国,
神@女神,サラスヴァティ,,,サラスヴァティー,ヒンドゥー教,インド,
神,シヴァ神,,,シバ@シヴァ,ヒンドゥー教,インド,
宗教概念,ジハード,,,聖戦,イスラーム教,アラビア半島,ムハンマド
神,スカンダ,,,,ヒンドゥー教,インド,
宗教概念,スンナ,,,,ヒンドゥー教,インド,ムハンマド
宗教概念@言語録,ハディース,,,,イスラーム教,アラビア半島,ムハンマド
宗教概念,ファトワー,,,,イスラーム教,,
宗教概念@原理,ブラフマン,,,梵,ヒンドゥー教@バラモン教,インド,
宗教概念,メシア,,,救世主@キリスト,ユダヤ教@キリスト教,,
宗教概念,メッカ巡礼,,,ハッジ,イスラーム教,イスラーム世界@メッカ,ムハンマド
神,ヤハウェ,,,,ユダヤ教,イスラエル,
神,ラー,,,レー,,エジプト,
神@女神,ラクシュミ,,,ラクシュミー,ヒンドゥー教,インド,
宗教概念,ラマダーン,624,,,イスラーム教,アラビア半島,ムハンマド
宗教概念,リンガ,,,,ヒンドゥー教,インド,
宗教概念@如来,阿弥陀仏,1世紀-2世紀,,阿弥陀如来@弥陀仏,大乗仏教,,
宗教概念,悪魔,,,,仏教@キリスト教@イスラーム教,,
宗教概念,異端,,,,キリスト教,,
宗教概念,異端審問,1022,,,キリスト教,ローマ,
