class,instance,starting_time,ending_time,alias,land_of_origin,leading_person
美術様式,アール・ヌーヴォー,19世紀末,20世紀初頭,新芸術,ヨーロッパ,サミュエル・ビング@ヴィクトール・オルタ
建築様式,イオニア式,前570-前560頃,,,ギリシア,ロイコス
絵画様式@彫刻様式,イコン,4世紀,14世紀,聖像画,,
建築様式,イスラーム建築,622頃,,,イスラーム世界,ワリード1世@アブドゥルマリク
絵画様式@彫刻様式,ガンダーラ美術,前50-75,5世紀,,ガンダーラ,
美術様式,キュビズム,20世紀初頭,,立体派,フランス,ピカソ@ジョルジュ・ブラック
絵画様式@彫刻様式,グプタ様式,321-550,,,インド,
建築様式,コリント式,古代,,,ギリシア,ウィトルウィウス@マルクス・ウィプサニウス・アグリッパ
美術様式,ゴシック様式,12世紀,13世紀,現代様式@フランス様式,フランス北部,
建築様式,ドーリア式,古代,,ドリス式,ギリシア,フェイディアス
美術様式,バロック様式,17世紀,,,イタリア,ミケランジェロ
音楽様式,バロック音楽,17世紀初頭,18世紀半ば,,ヨーロッパ,バッハ
建築様式,ビザンツ様式,,,,,
絵画様式@彫刻様式,フォーヴィズム,20世紀初頭,,野獣派,パリ,ギュスターヴ・モロー@マティス@アンドレ・ドラン
絵画様式@彫刻様式,フランドル画派,,,,,ファン・アイク兄弟
絵画様式@彫刻様式,ミニアチュール,3世紀頃,,細密画,ビザンツ帝国,
絵画様式@彫刻様式,ムガル絵画,16世紀,19世紀,,インド,サイイド・アリー@アブドゥルサマド
絵画様式@彫刻様式,ラージプート絵画,16世紀,19世紀前半,,インド,
美術様式,ロココ様式,18世紀,,,フランス,アントワーヌ・ヴァトー@フランソワ・ブーシェ@ジャン・オノレ・フラゴナール
美術様式,ロマネスク様式,11世紀,12世紀,,西ヨーロッパ,
美術様式,ロマン主義,19世紀前半,,,ヨーロッパ,ユーゴー@スコット@ハイネ@ドラクロワ
音楽の様式,ロマン派音楽,19世紀半ば,,,ヨーロッパ,シューベルト@ショパン@スメタナ
美術様式,写実主義,19世紀半ば,,現実主義@リアリズム@レアリズム,フランス,ギュスターヴ・クールベ@クルベ@ギュスターヴ・フローベール@オノレ・ド・バルザック@チャールズ・ディケンズ@マシャードデ・アシス@エッサ・デ・ケイロス
絵画様式@彫刻様式,北宗画,,,北画,中国,
絵画様式@彫刻様式,南宗画,17世紀,,南画@文人画,中国,董其昌
音楽の様式,印象主義音楽,20世紀初頭,,,フランス,ドビュッシー
絵画様式@彫刻様式,印象派絵画,19世紀後半,,,,ルノアール@マネ@モネ
絵画様式@彫刻様式,山水画,六朝時代,,,中国,顧愷之
絵画様式@彫刻様式,後期印象派絵画,,,,,セザンヌ@ゴッホ
絵画様式@彫刻様式,文人画,17世紀,,南宗画@南画,中国,顧愷之
絵画様式@彫刻様式,水墨画,唐代後半,,墨絵,中国,如拙@可翁
美術様式,自然主義,19世紀後半,,,フランス,ゾラ
美術様式,象徴主義,1870頃,,サンボリスム,フランス,ジャン・モレアス@ワレリー・ブリューソフ
絵画様式@彫刻様式,院体画,唐代,,,中国,徽宗@夏珪@馬遠@梁楷
美術様式,洞穴美術,,,,,,,
美術様式,ササン朝美術,,,,,,,
美術様式,アマルナ美術,,,,,,,
文学様式,ラテン文学,,,,古典ラテン語,,,,
様式,ドラヴィダ様式,,,,南インド,,,,
文学様式,サンスクリット文学,,,,,,,,
文体,四六駢儷体,,,,斉@梁,,,
記述法,編年体,,,,,,,
形式@様式,紀伝体,,,,史記@漢書,,,
